redshift,BH1_id,BH2_id,BH3_id,BH1_halo,BH2_halo,BH3_halo,num_unique_halos,config_type,BH1_mass,BH2_mass,BH3_mass,BH1_Lbol,BH2_Lbol,BH3_Lbol,sep_BH1_BH2_kpc,sep_BH1_BH3_kpc,sep_BH2_BH3_kpc,min_separation,max_separation,mean_separation,Halo1_Mvir,Halo1_M200,Halo1_Rvir,Halo1_R200
0.21,1981809013.0,1981809455.0,1982123566.0,55611.0,55611.0,55611.0,1,All in same halo,1871162109.3,63107317.169999994,8765319.975,2.908058816626799e+46,1.8515275238915712e+44,2.065799560270903e+43,4.959670450199172,2.3863675972051075,7.164622710277732,2.3863675972051075,7.164622710277732,4.836886919227337,,,,
0.25,1981809606.0,1982495406.0,1983048877.0,46466.0,46466.0,46466.0,1,All in same halo,465774040.8,15353451.743999999,2981234.208,8.833715397554617e+44,3.8243921627463824e+43,2.352476083382425e+43,2.366109823033659,6.1813190683916694,3.9444962667514516,2.366109823033659,6.1813190683916694,4.163975052725593,,,,
0.29,1981809936.0,1981810795.0,1981827033.0,68672.0,68672.0,68672.0,1,All in same halo,816173792.1,455523858.0,67871223.03,5.885120675884344e+44,4.1843986251618497e+43,6.785623912223933e+43,2.2080665118291076,1.5111957798737345,2.365899468931134,1.5111957798737345,2.365899468931134,2.028387253544659,,,,
0.31,1982209764.0,1981808887.0,1982310818.0,93972.0,93972.0,93972.0,1,All in same halo,7200116.265000001,237331155.6,9049848.165000001,1.0410800231892846e+43,2.6100549705171465e+44,1.6073541690389164e+43,2.715778008947342,3.0643812746142842,1.8561544175376512,1.8561544175376512,3.0643812746142842,2.545437900366426,,,,
0.5,1981808650.0,1981811794.0,1982319035.0,70163.0,70163.0,70163.0,1,All in same halo,448196610.0,99719066.64,7206029.8319999995,6.187841082907932e+43,3.9246224646696305e+44,1.7950505629995594e+43,20.49150489669361,21.726804866008194,3.3143387585377218,3.3143387585377218,21.726804866008194,15.177549507079844,,,,
0.52,1981809748.0,1981811794.0,1982319035.0,67728.0,67728.0,67728.0,1,All in same halo,32884012.05,97403019.12,7107808.869,1.3522458614305422e+44,4.897754785880169e+43,1.489518620238977e+43,2.9175462046603498,1.6031065452732969,3.895001542785202,1.6031065452732969,3.895001542785202,2.8052180975729493,,,,
0.64,1981988797.0,1982190331.0,1982215810.0,67940.0,67940.0,67940.0,1,All in same halo,23141559.75,10159906.326000001,3342638.769,3.875535594343289e+43,1.0966667095312756e+44,1.2424660796075337e+43,2.7543862648204045,3.1048579167072634,3.5580702819592034,2.7543862648204045,3.5580702819592034,3.1391048211622903,,,,
0.7,1981809606.0,1981813029.0,1981844761.0,51905.0,51905.0,51905.0,1,All in same halo,386183800.5,9164575.347000001,12826725.933,2.956225646384731e+43,9.428656925115233e+43,4.724516558851921e+43,6.9750406286293725,8.742324395083752,3.7027057458660364,3.7027057458660364,8.742324395083752,6.473356923193054,,,,
0.77,1981808792.0,1981808997.0,1982953950.0,95927.0,95927.0,95927.0,1,All in same halo,514972130.70000005,162349316.25,3888359.4570000004,1.1726079404485012e+44,3.2356203189974557e+44,1.7439071314026542e+43,10.8143297339619,2.6558225961038624,8.530134931639745,2.6558225961038624,10.8143297339619,7.33342908723517,,,,
0.77,1981811972.0,1981945667.0,1982053293.0,94699.0,94699.0,94699.0,1,All in same halo,377797287.3,49787057.28,10073273.565,1.8155782916817883e+45,6.510721202386387e+44,3.529113260320227e+43,1.5676214779168713,1.7025501260926394,3.0416544474177765,1.5676214779168713,3.0416544474177765,2.1039420171424292,,,,
0.77,1981817577.0,1982163700.0,1983514870.0,45213.0,45213.0,45213.0,1,All in same halo,78696435.51,18183720.75,1711382.3076,2.432508788827403e+44,1.405456678304698e+44,1.0822058365972092e+43,2.2739999450620783,4.102685938995696,3.5107394573906694,2.2739999450620783,4.102685938995696,3.295808447149481,,,,
