redshift,system_number,BH1_id,BH1_halo_pynbody,BH1_mass,BH1_mdot,BH1_Lbol,BH1_x,BH1_y,BH1_z,BH2_id,BH2_halo_pynbody,BH2_mass,BH2_mdot,BH2_Lbol,BH2_x,BH2_y,BH2_z,BH3_id,BH3_halo_pynbody,BH3_mass,BH3_mdot,BH3_Lbol,BH3_x,BH3_y,BH3_z,separation_BH1_BH2_kpc,separation_BH1_BH3_kpc,separation_BH2_BH3_kpc,Halo1_Mvir,Halo1_M200,Halo2_Mvir,Halo2_M200,Halo3_Mvir,Halo3_M200
0.21,0,1981809013.0,55611.0,1871162109.3,5.123745884386863,2.908058816626799e+46,6020.37255859375,6905.04248046875,6556.3623046875,1981809455.0,55611.0,63107317.169999994,0.03262229937072798,1.8515275238915712e+44,6016.8125,6908.4599609375,6555.8671875,1982123566.0,55611.0,8765319.975,0.003639758568289161,2.065799560270903e+43,6022.388671875,6904.2041015625,6557.3251953125,4.959670450199172,2.3863675972051075,7.164622710277732,,,,,,
0.25,0,1981809606.0,46466.0,465774040.8,0.15564235720846464,8.833715397554617e+44,-8386.9189453125,4245.8212890625,7216.279296875,1982495406.0,46466.0,15353451.743999999,0.006738245283113843,3.8243921627463824e+43,-8388.8369140625,4244.90576171875,7215.2392578125,1983048877.0,46466.0,2981234.208,0.004144857587279017,2.352476083382425e+43,-8392.654296875,4244.69287109375,7214.26904296875,2.366109823033659,6.1813190683916694,3.9444962667514516,,,,,,
0.29,0,1981809936.0,68672.0,816173792.1,0.10369069108842645,5.885120675884344e+44,4636.9423828125,-3006.582275390625,7258.17041015625,1981810795.0,68672.0,455523858.0,0.007372545256555763,4.1843986251618497e+43,4638.095703125,-3006.88818359375,7260.0283203125,1981827033.0,68672.0,67871223.03,0.011955677235436167,6.785623912223933e+43,4636.91650390625,-3005.22314453125,7258.83056640625,2.2080665118291076,1.5111957798737345,2.365899468931134,,,,,,
0.31,0,1982209764.0,93972.0,7200116.265000001,0.0018342921586162802,1.0410800231892846e+43,-2699.771728515625,-4650.0546875,7977.306640625,1981808887.0,93972.0,237331155.6,0.04598689110670399,2.6100549705171465e+44,-2702.1884765625,-4650.62060546875,7976.20458984375,1982310818.0,93972.0,9049848.165000001,0.002832017791826569,1.6073541690389164e+43,-2702.344482421875,-4648.771484375,7976.24609375,2.715778008947342,3.0643812746142842,1.8561544175376512,,,,,,
0.5,0,1981808650.0,70163.0,448196610.0,0.01090243605133323,6.187841082907932e+43,3718.105224609375,1534.49267578125,4187.509765625,1981811794.0,70163.0,99719066.64,0.06914842329237479,3.9246224646696305e+44,3729.34375,1546.4727783203125,4199.76025390625,1982319035.0,70163.0,7206029.8319999995,0.003162722460030507,1.7950505629995594e+43,3728.59912109375,1549.6219482421875,4199.0439453125,20.49150489669361,21.726804866008194,3.3143387585377218,,,,,,
0.52,0,1981809748.0,67728.0,32884012.05,0.023825392139835366,1.3522458614305422e+44,3660.9716796875,1508.481201171875,4083.0859375,1981811794.0,67728.0,97403019.12,0.008629416565927072,4.897754785880169e+43,3662.142578125,1506.1876220703125,4084.457275390625,1982319035.0,67728.0,7107808.869,0.0026244018368994657,1.489518620238977e+43,3661.999755859375,1509.4278564453125,4082.300537109375,2.9175462046603498,1.6031065452732969,3.895001542785202,,,,,,
0.64,0,1981988797.0,67940.0,23141559.75,0.0068283555469296296,3.875535594343289e+43,6917.43408203125,1019.4756469726562,5531.96044921875,1982190331.0,67940.0,10159906.326000001,0.0193223104958474,1.0966667095312756e+44,6917.68994140625,1016.9487915039062,5530.89453125,1982215810.0,67940.0,3342638.769,0.0021891168175421265,1.2424660796075337e+43,6915.80712890625,1019.5225830078125,5529.31640625,2.7543862648204045,3.1048579167072634,3.5580702819592034,,,,,,
0.7,0,1981809606.0,51905.0,386183800.5,0.005208611635493794,2.956225646384731e+43,-6009.49609375,3190.197265625,5002.62890625,1981813029.0,51905.0,9164575.347000001,0.016612470779181855,9.428656925115233e+43,-6014.43017578125,3195.125732421875,5002.75634765625,1981844761.0,51905.0,12826725.933,0.008324185926271693,4.724516558851921e+43,-6015.86962890625,3195.199951171875,4999.345703125,6.9750406286293725,8.742324395083752,3.7027057458660364,,,,,,
0.77,0,1981808792.0,95927.0,514972130.70000005,0.02066032872004118,1.1726079404485012e+44,2890.47705078125,-5650.59912109375,4026.644287109375,1981808997.0,95927.0,162349316.25,0.05700880669302259,3.2356203189974557e+44,2890.15576171875,-5657.32568359375,4018.1826171875,1982953950.0,95927.0,3888359.4570000004,0.00307261219621472,1.7439071314026542e+43,2890.642578125,-5651.15576171875,4024.052734375,10.8143297339619,2.6558225961038624,8.530134931639745,,,,,,
0.77,1,1981811972.0,94699.0,377797287.3,0.31988905267663037,1.8155782916817883e+45,3420.1083984375,-6860.826171875,4363.96630859375,1981945667.0,94699.0,49787057.28,0.11471322648079246,6.510721202386387e+44,3421.399169921875,-6861.68310546875,4364.205078125,1982053293.0,94699.0,10073273.565,0.006217989622395394,3.529113260320227e+43,3419.033935546875,-6860.5302734375,4362.67919921875,1.5676214779168713,1.7025501260926394,3.0416544474177765,,,,,,
